âÒçÜ,íäÇπÇÒì˙,íäÇπÇÒójì˙,íäÇπÇÒêîéöÇP,íäÇπÇÒêîéöÇQ,íäÇπÇÒêîéöÇR,íäÇπÇÒêîéöÇS,íäÇπÇÒêîéöÇT,íäÇπÇÒêîéöÇU,íäÇπÇÒêîéöÇV,É{Å[ÉiÉXêîéöÇP,É{Å[ÉiÉXêîéöÇQ,ÅyÇPìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇPìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇQìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇQìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇRìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇRìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇSìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇSìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇTìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇTìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇUìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇUìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÉLÉÉÉäÅ[ÉIÅ[ÉoÅ[ã‡äzÅiíPà ÅFâ~Åj
ëÊ0613âÒ,"2025/02/14",ã‡ójì˙,"03","05","06","10","19","21","35","13","27","453,102,600","1","4,477,900","12","265,600","233","4,800","7,688","1,200","98,001","1,000","154,525","0"
ëÊ0612âÒ,"2025/02/07",ã‡ójì˙,"05","13","16","23","27","31","34","26","33","357,391,600","1","19,408,300","3","594,900","137","8,500","5,619","1,400","79,216","1,100","125,666","0"
ëÊ0611âÒ,"2025/01/31",ã‡ójì˙,"07","08","11","18","20","30","34","05","14","805,690,900","1","9,981,300","7","647,700","151","8,300","6,885","1,300","103,668","1,000","167,800","0"
ëÊ0610âÒ,"2025/01/24",ã‡ójì˙,"01","08","09","23","24","31","36","21","28","1,000,000,000","2","6,931,800","13","733,400","172","8,100","9,091","1,300","138,054","1,000","216,296","380,263,390"
ëÊ0609âÒ,"2025/01/17",ã‡ójì˙,"04","11","12","23","26","32","37","01","09","0","0","6,953,000","12","748,700","156","8,700","7,808","1,400","118,584","900","210,772","1,837,033,120"
ëÊ0608âÒ,"2025/01/10",ã‡ójì˙,"07","10","11","18","20","29","30","32","36","0","0","8,639,800","10","604,700","200","8,000","8,848","1,300","132,329","1,100","194,301","1,323,081,880"
ëÊ0607âÒ,"2024/12/27",ã‡ójì˙,"12","14","20","27","31","34","37","19","21","0","0","10,960,200","7","933,900","115","11,100","5,671","1,600","91,878","1,100","165,827","808,753,825"
ëÊ0606âÒ,"2024/12/20",ã‡ójì˙,"09","17","18","20","22","27","36","25","37","0","0","28,280,000","2","889,600","89","9,800","4,737","1,500","75,921","1,100","123,899","338,982,680"
ëÊ0605âÒ,"2024/12/13",ã‡ójì˙,"02","08","15","26","28","31","32","19","24","178,072,800","2","66,200","868","609,900","132","8,500","5,516","1,400","81,272","900","143,908","0"
ëÊ0604âÒ,"2024/12/06",ã‡ójì˙,"04","06","09","12","25","31","36","27","30","752,223,400","1","6,838,400","10","613,600","156","8,200","6,826","1,300","102,518","1,000","169,531","0"
